epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
61,-0.23262362,0.489082,-0.14401777,0.4731516,620.0,-5.960022,0.9,3100.0,0.88
62,-0.23288898,0.48920488,-0.14434631,0.4733183,630.0,-6.283169,0.8,3150.0,0.82
63,-0.23187391,0.48861113,-0.14356408,0.4726974,640.0,-5.5772314,0.9,3200.0,0.88
64,-0.23218866,0.48860297,-0.14397024,0.4725956,650.0,-5.6713905,0.8,3250.0,0.82
65,-0.23244943,0.48862758,-0.14438145,0.4729469,660.0,-7.777501,0.8,3300.0,0.72
66,-0.23314887,0.48844644,-0.14496525,0.47297993,670.0,-7.3555083,0.5,3350.0,0.9
67,-0.23395735,0.488871,-0.1456229,0.47311878,680.0,-6.1621046,0.8,3400.0,0.76
68,-0.23279472,0.4890295,-0.14490561,0.47374406,690.0,-6.333506,0.7,3450.0,0.72
69,-0.23378424,0.48927292,-0.14581537,0.4735506,700.0,-6.3372273,0.8,3500.0,0.76
70,-0.23423605,0.4893035,-0.14625832,0.47357816,710.0,-5.5050335,0.9,3550.0,0.72
71,-0.2348897,0.48928574,-0.14682308,0.47349876,720.0,-6.004214,0.9,3600.0,0.8
72,-0.23481166,0.4891874,-0.14697634,0.47342375,730.0,-6.5925093,0.6,3650.0,0.86
73,-0.23440905,0.4897789,-0.14689973,0.47372004,740.0,-6.460861,0.6,3700.0,0.76
74,-0.23544382,0.49002382,-0.14788167,0.47377393,750.0,-5.876687,0.9,3750.0,0.72
75,-0.23481207,0.49012306,-0.14748466,0.47383764,760.0,-5.5558977,0.8,3800.0,0.72
76,-0.23459361,0.49012962,-0.1474655,0.4747005,770.0,-31.720127,0.0,3850.0,0.66
77,-0.23633726,0.49123517,-0.14676774,0.4876581,780.0,-44.381275,0.0,3900.0,0.0
78,-0.23787445,0.49182,-0.14511763,0.49978855,790.0,-39.186085,0.0,3950.0,0.0
79,-0.23868667,0.49207187,-0.1440029,0.5104648,800.0,-46.27043,0.0,4000.0,0.0
