epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.29086125,0.5084105,-0.1513616,0.47498298,10.0,-2.090344,0.2,50.0,0.02
1,-0.3068257,0.5110882,-0.1624823,0.47501782,20.0,-3.6483727,0.3,100.0,0.2
2,-0.29222712,0.5039392,-0.15465195,0.46917614,30.0,-3.0654492,1.0,150.0,0.56
3,-0.28046885,0.5007591,-0.1486461,0.46636096,40.0,-4.5874987,0.8,200.0,0.8
4,-0.2715796,0.4978293,-0.14471452,0.46579233,50.0,-4.1440344,0.6,250.0,0.82
5,-0.2678354,0.493104,-0.14458945,0.4625373,60.0,-4.1206613,0.6,300.0,0.8
6,-0.26028213,0.4942884,-0.1408467,0.4636157,70.0,-5.6201315,0.8,350.0,0.78
7,-0.2595323,0.4941853,-0.14185555,0.4634244,80.0,-5.3315644,0.8,400.0,0.6
8,-0.25506434,0.49477255,-0.1395314,0.46403188,90.0,-4.9411335,1.0,450.0,0.68
9,-0.25545445,0.4927173,-0.14144132,0.46333414,100.0,-4.485516,0.8,500.0,0.78
10,-0.25722906,0.493709,-0.144547,0.46692625,110.0,-5.5641556,0.8,550.0,0.72
11,-0.25289068,0.49437144,-0.14204557,0.46792445,120.0,-6.238612,0.9,600.0,0.7
12,-0.2476474,0.4949454,-0.13869543,0.46816438,130.0,-6.210696,1.0,650.0,0.8
13,-0.24982196,0.49294937,-0.14133668,0.4669759,140.0,-7.199195,0.7,700.0,0.82
14,-0.2508837,0.49373707,-0.14285605,0.46738797,150.0,-8.762801,0.6,750.0,0.88
15,-0.25156748,0.49410412,-0.14425017,0.46747398,160.0,-6.657964,0.8,800.0,0.78
16,-0.24876146,0.4920353,-0.14251693,0.46633032,170.0,-6.0867047,0.7,850.0,0.88
17,-0.24801141,0.4900106,-0.14231895,0.46462664,180.0,-5.135391,0.9,900.0,0.84
18,-0.24802385,0.48966977,-0.14232689,0.46505514,190.0,-5.597731,0.8,950.0,0.88
19,-0.24541594,0.4889779,-0.14078479,0.46431303,200.0,-5.860062,1.0,1000.0,0.86
20,-0.24518192,0.48734617,-0.14076385,0.4629261,210.0,-5.142046,1.0,1050.0,0.88
21,-0.24434972,0.4873228,-0.14019556,0.46268067,220.0,-5.347644,1.0,1100.0,0.8
22,-0.23968665,0.48859286,-0.13678367,0.4634169,230.0,-6.924217,0.7,1150.0,0.82
23,-0.24112092,0.48898372,-0.13829036,0.4636615,240.0,-15.028481,0.5,1200.0,0.88
24,-0.24509709,0.49029815,-0.123137884,0.4982606,250.0,-16.209328,0.4,1250.0,0.0
25,-0.24581176,0.49047768,-0.124252014,0.49717262,260.0,-4.596805,0.9,1300.0,0.74
26,-0.246787,0.48914313,-0.12572978,0.49523565,270.0,-4.809994,1.0,1350.0,0.86
27,-0.24306159,0.48835087,-0.123612575,0.4933078,280.0,-5.953716,0.9,1400.0,0.98
28,-0.24080807,0.4897059,-0.12277559,0.4939914,290.0,-6.2992334,0.9,1450.0,0.82
29,-0.23988609,0.48948088,-0.122765645,0.49282837,300.0,-4.888863,1.0,1500.0,0.86
30,-0.24105763,0.49073258,-0.12455718,0.4933114,310.0,-5.393441,0.9,1550.0,0.82
31,-0.24254917,0.49036524,-0.12647149,0.4923606,320.0,-6.279252,0.8,1600.0,0.86
32,-0.24211852,0.48990595,-0.12698229,0.49127802,330.0,-5.2248125,0.9,1650.0,0.92
33,-0.24240486,0.48933005,-0.1279053,0.49009427,340.0,-4.8386464,1.0,1700.0,0.94
34,-0.24194354,0.48929143,-0.12812497,0.48946637,350.0,-5.3123064,0.8,1750.0,0.9
35,-0.2408715,0.48878732,-0.12798414,0.4884319,360.0,-5.548793,1.0,1800.0,0.88
36,-0.24112499,0.4888771,-0.12882783,0.48792034,370.0,-4.7379694,1.0,1850.0,0.88
37,-0.24191143,0.4883096,-0.1303334,0.48717624,380.0,-7.0477343,0.6,1900.0,0.88
38,-0.24050258,0.48866534,-0.13002332,0.48722416,390.0,-5.2036858,0.8,1950.0,0.86
39,-0.23968303,0.4879596,-0.13014671,0.4863569,400.0,-4.8230886,1.0,2000.0,0.9
